Name;address;Ville;CP;telephone;site
 Mevlana  II ; 8  r  Paix ;74000;ANNECY; 04  50  51  40  81 ;None
Shanghai; r  Vignes  Rouges ;74500;PUBLIER; 04  50  26  53  64 ;http://www.restaurantshanghai.fr
 Restaurant  Le  St  Joseph ; 192  rte  Col  des  Aravis ;74220; LA  CLUSAZ ; 04  50  02  40  06 ;www.clusaz.com
 Hôtel  Restaurant  du  Faucigny ; 170  r  César  Vuarchex ;74950;SCIONZIER; 04  50  98  16  71 ;www.hotel-faucigny.com
 Auberge  de  la  Devinière  (EURL) ; 1164  rte  d'  Hermance ;74140; CHENS  SUR  LÉMAN ; 04  50  94  04  19 ;https://www.auberge-deviniere.fr
 Bighorn  Bistro  &  Bakery ; 77  pl  Edmond  Desailloud ;74400; CHAMONIX  MONT  BLANC ; 04  57  44  62  84 ;http://www.bighornbistro.com/fr
 Restaurant  L'aquarama ; 227  rte  Ponton ;74210; TALLOIRES  MONTMIN ; 04  50  51  90  19 ;http://www.restaurant-aquarama.com
 Crêperie  La  Gavotte  ANGELE ; 18  r  Nationale ;74500; EVIAN  LES  BAINS ; 04  50  74  16  73 ;None
 Columbus  Café  &  Co ; 8  quai  Eustache  Chappuis ;74000;ANNECY; 04  56  20  41  51 ;http://www.colombuscafe.com
 Chez  Eric  Grippi  Eric ; 44  av  Dranse ;74200; THONON  LES  BAINS ; 04  50  17  41  44 ;None
 Freyer  Kévin ; 1149  rte  Curnillex ;74270;CHILLY; 07  61  93  49  83 ;None
 Les  Troënes ; 35  r  Veret ;74140;MESSERY; 04  50  94  76  08 ;www.lestroenes.com
 Bistro  Le  Cul  De  Poule ; 1  rte  Pont  de  l'Hermance ;74140; VEIGY  FONCENEX ; 04  50  94  80  40 ;None
 Dpse  L'escale ; 52  av  Georges  Clemenceau ;74300;CLUSES; 09  66  89  15  87 ;None
 Hôtel  Ermitage ; 1230  av  Léman ;74500; EVIAN  LES  BAINS ; 04  50  26  50  50 ;www.hotel-ermitage-evian.com
 La  Flamme  D'Or ; 8  r  Marc  Leroux ;74000;ANNECY; 04  50  46  55  37 ;http://laflammedor.com
Gardenia; 12  bd  Georges  Andrier ;74200; THONON  LES  BAINS ; 04  50  76  74  18 ;None
 Refuge  de  la  Pointe  Percée ; 2427  chem  Plattuy ;74450; LE  GRAND  BORNAND ; 06  37  67  22  62 ;http://refugelapointepercee.ffcam.fr/
 Le  Breton  Agnès ; 89  rte  Granges ;74310; LES  HOUCHES ; 04  50  47  34  42 ;None
 Au  Cha  L'heureux ; 3  imp  Miracle ;74650;CHAVANOD; 04  50  52  42  33 ;www.facebook.com
 Le  Point  Rouge ; 363  Grande  Rue ;74930; REIGNIER  ESERY ; 04  50  82  55  17 ;http://www.pointrouge.fr
 Restaurant  Le  Sérac ; 22  r  Comtesse ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  93  80  50 ;http://www.3serac.fr/le-s%C3%A9rac-restaurant
 Le  P'tit  Chalet  A  Pizza ; pl  Pallud ;74540;CUSY; 06  07  82  83  11 ;www.facebook.com/leptitchaletapizza
 La  Tête  Au  Moine ; bât  A  imm  Silène  La  Chèvrerie ;74470;BELLEVAUX; 04  50  17  34  99 ;www.facebook.com/La-T%C3%AAte-Au-Moine-84616417263
Mic'Pizza; Parking  Rey  Travaux  Public  rte  Thonon ;74890;BRENTHONNE; 06  31  14  15  47 ;None
 HOTEL  ARBOISIE  SAS ; 483  rte  Gollet ;74120;MEGÈVE; 04  50  47  08  52 ;http://arboisie-megeve.com/nos-restaurants
 L'Evenement  Gourmand ; St  Cergues  577  rte  Framboises ;74140;MACHILLY; 04  50  31  22  13 ;http://www.saint-cergues.fr/Evenements-Gourmands
 Hôtel  Restaurant  Val  De  Fier ; 1376  rte  Mandrin ;74150; VAL  DE  FIER ; 04  50  62  21  75 ;None
 Annecy  Hôtel  Du  Nord ; 24  r  Sommeiller ;74000;ANNECY; 04  50  51  22  04 ;www.annecy-hotel-du-nord.com
 BRASSERIE  DU  MONT  BLANC ; 31  av  Mont  Paccard ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  90  44  84 ;http://www.labrasseriedumontblanc.fr
 Morzine  Villlage  Vacances  Le  Chablais ; 315  chem  Coutettaz ;74110;MORZINE; 04  50  79  00  24 ;http://www.touristravacances.com/villagevacancesskimorzinetoutcompris.html
 Bar  Des  Fontanettes ; Les  Fontanettes  Sud ;74230; LE  BOUCHET  MONT  CHARVIN ; 04  50  27  52  06 ;None
 Crazy  Clock ; 49  bd  Costa  de  Beauregard ;74000;SEYNOD; 09  71  21  25  04 ;www.facebook.com
 Bobby  Bar ; 23  pl  Foron ;74950;SCIONZIER; 04  50  55  83  47 ;www.facebook.com
 Restaurant  du  Port ; r  Port ;74140;YVOIRE; 04  50  72  80  17 ;www.hdpy.fr
Sports'Bar; 247  rte  Palais  des  Sports ;74120;MEGÈVE; 06  33  38  88  19 ;http://megeve.com/noesit/!/fiche/sports-bar-294025
 Coin  Savoyard  (Le) ; 300  rte  Cry  Cuchet ;74920;COMBLOUX; 04  50  58  60  27 ;www.coin-savoyard.com
 Le  Calife ; 14  pl  Hôtel  de  Ville ;74000;ANNECY; 04  50  10  40  32 ;None
 Restaurant  4  Epices ; 138  av  Mont  D'Arbois ;74170; SAINT  GERVAIS  LES  BAINS ; 04  50  47  75  75 ;None
 O  Petit  Liban ; 8  av  Jules  Ferry ;74200; THONON  LES  BAINS ; 06  59  67  32  98 ;None
 King  Marcel  La  Clusaz ; 16  r  Eglise ;74220; LA  CLUSAZ ; 04  50  32  21  45 ;restaurant.kingmarcel.fr
 Le  Vieux  Moulin ; rte  Chevennes ;74360; LA  CHAPELLE  D'ABONDANCE ; 04  50  73  52  52 ;http://www.hotel-vieuxmoulin.com
 La  Terrasse ; 1006  r  Champ  Canon ;74210; SAINT  FERRÉOL ; 04  50  44  50  05 ;http://www.hotelflorimont.com
 Hôtel  Au  Vieux  Moulin ; 188  r  Ambroise  Martin ;74120;MEGÈVE; 04  50  96  65  63 ;http://www.hotelrestaurantmegeve.com
 Pisoni  Christèlle ; 9  av  Jules  Ferry ;74100;ANNEMASSE; 04  50  49  85  05 ;http://pizzamiaannemasse.com
